source,target,weight,betweenness_source,betweenness_target
Youssef En-Nesyri,Achraf Hakimi Mouh,1,0.0105,0.019
Youssef En-Nesyri,Azzedine Ounahi,2,0.0105,0.0158
Youssef En-Nesyri,Hakim Ziyech,3,0.0105,0.0089
Youssef En-Nesyri,Noussair Mazraoui,2,0.0105,0.0056
Youssef En-Nesyri,Sofiane Boufal,1,0.0105,0.0029
Youssef En-Nesyri,Sofyan Amrabat,2,0.0105,0.0245
Alistair Johnston,Alphonso Davies,3,0.0142,0.0087
Alistair Johnston,Atiba Hutchinson,1,0.0142,0.0068
Alistair Johnston,Cyle Larin,4,0.0142,0.0004
Alistair Johnston,David Junior Hoilett,6,0.0142,0.01
Alistair Johnston,Ismael Koné,5,0.0142,0.0082
Alistair Johnston,Jonathan David,2,0.0142,0.0024
Alistair Johnston,Jonathan Osorio,9,0.0142,0.0043
Alistair Johnston,Kamal Miller,1,0.0142,0.012
Alistair Johnston,Mark Anthony Kaye,7,0.0142,0.0021
Alistair Johnston,Milan Borjan,3,0.0142,0.0038
Alistair Johnston,Richie Laryea,1,0.0142,0.0012
Alistair Johnston,Steven de Sousa Vitoria,18,0.0142,0.0109
Alistair Johnston,Tajon Buchanan,3,0.0142,0.0161
Alphonso Davies,Alistair Johnston,4,0.0087,0.0142
Alphonso Davies,Atiba Hutchinson,1,0.0087,0.0068
Alphonso Davies,Cyle Larin,2,0.0087,0.0004
Alphonso Davies,David Junior Hoilett,2,0.0087,0.01
Alphonso Davies,Jonathan David,1,0.0087,0.0024
Alphonso Davies,Jonathan Osorio,1,0.0087,0.0043
Alphonso Davies,Kamal Miller,3,0.0087,0.012
Alphonso Davies,Mark Anthony Kaye,5,0.0087,0.0021
Alphonso Davies,Milan Borjan,1,0.0087,0.0038
Alphonso Davies,Sam Adekugbe,3,0.0087,0.001
Alphonso Davies,Steven de Sousa Vitoria,1,0.0087,0.0109
Alphonso Davies,Tajon Buchanan,1,0.0087,0.0161
Atiba Hutchinson,Alistair Johnston,3,0.0068,0.0142
Atiba Hutchinson,Alphonso Davies,1,0.0068,0.0087
Atiba Hutchinson,David Junior Hoilett,1,0.0068,0.01
